name,threshold
Sandwich,0.56
Shrimp,0.74
Sewing machine,0.22
Binoculars,0.06
Ipod,0.18
Accordion,0.17
Crab,0.22
Crown,0.5
Alpaca,0.37
Remote control,0.68
Wheelchair,0.29
Armadillo,0.5
Maracas,0.5
Helmet,0.78
